timestamp,open,high,low,close,volume
20240604 040100,5299.25,5299.25,5299,5299,10
20240604 040200,5298.75,5299,5298.5,5299,53
20240604 040300,5299,5299,5298.25,5298.5,65
20240604 040400,5298.5,5298.75,5298.5,5298.75,26
20240604 040500,5298.75,5298.75,5298.75,5298.75,38
20240604 040600,5298.75,5299,5298.5,5298.5,41
20240604 040700,5298.75,5299,5298.75,5298.75,12
20240604 040800,5298.75,5298.75,5298.5,5298.5,46
20240604 040900,5298.75,5299.25,5298.75,5299.25,67
20240604 041000,5299.25,5299.5,5299,5299.25,47
20240604 041100,5299.25,5299.25,5299.25,5299.25,11
20240604 041200,5299,5299.25,5299,5299,70
20240604 041300,5299,5299,5299,5299,23
20240604 041400,5299,5299,5298.75,5299,32
20240604 041500,5298.75,5299,5298.75,5299,20
20240604 041600,5299,5299,5298.5,5298.5,62
20240604 041700,5298.75,5298.75,5298.5,5298.75,25
20240604 041800,5298.75,5299.25,5298.5,5299.25,138
20240604 041900,5299.5,5299.75,5299.5,5299.75,87
20240604 042000,5299.5,5299.75,5299.5,5299.75,20
20240604 042100,5299.5,5299.75,5299,5299,104
20240604 042200,5299,5299.5,5299,5299.5,40
20240604 042300,5299.5,5299.5,5299.5,5299.5,63
20240604 042400,5299.25,5299.25,5299,5299.25,70
20240604 042500,5299.5,5300.25,5299.5,5300,229
20240604 042600,5300,5300,5299.75,5300,49
20240604 042700,5299.75,5299.75,5299.5,5299.5,88
20240604 042800,5299.75,5300,5299.75,5300,14
20240604 042900,5299.75,5299.75,5299.75,5299.75,65
20240604 043000,5299.75,5299.75,5299.75,5299.75,4
20240604 043100,5299.75,5300,5299.75,5300,86
20240604 043200,5299.75,5299.75,5299.75,5299.75,31
20240604 043300,5299.75,5299.75,5299.75,5299.75,50
20240604 043400,5299.75,5300.25,5299.75,5300.25,67
20240604 043500,5300.25,5300.5,5300,5300.5,30
20240604 043600,5300.25,5300.25,5299.75,5300,77
20240604 043700,5300,5300,5299.75,5300,32
20240604 043800,5300,5300.25,5300,5300.25,17
20240604 043900,5300,5300.25,5300,5300,34
20240604 044000,5300,5300.5,5300,5300.5,60
20240604 044100,5300.5,5300.5,5300.25,5300.5,44
20240604 044200,5300.25,5300.25,5300,5300,25
20240604 044300,5300,5300,5299.75,5300,86
20240604 044400,5300,5300,5299.5,5299.5,82
20240604 044500,5299.5,5299.75,5299.5,5299.75,70
20240604 044600,5299.5,5299.5,5299.5,5299.5,54
20240604 044700,5299.5,5299.5,5299.5,5299.5,45
20240604 044800,5299.5,5299.5,5298.75,5299,157
20240604 044900,5299,5299.25,5299,5299.25,33
20240604 045000,5299,5299,5299,5299,19
20240604 045100,5299,5299,5298.75,5298.75,19
20240604 045200,5298.75,5298.75,5298.5,5298.5,56
20240604 045300,5298.5,5298.5,5298.25,5298.5,44
20240604 045400,5298.25,5298.25,5298.25,5298.25,43
20240604 045500,5298.25,5298.25,5297.5,5298,118
20240604 045600,5298,5298.25,5297.75,5298.25,170
20240604 045700,5298.25,5298.5,5298,5298.25,80
20240604 045800,5298.25,5298.25,5298,5298,40
20240604 045900,5298,5298,5297.5,5297.5,36
20240604 050000,5297.5,5297.5,5297.5,5297.5,42
20240604 050100,5297.5,5298,5297.5,5297.75,127
20240604 050200,5297.75,5297.75,5297.25,5297.5,118
20240604 050300,5297.5,5297.5,5297.25,5297.5,94
20240604 050400,5297.5,5297.5,5297.5,5297.5,8
20240604 050500,5297.75,5297.75,5297.5,5297.5,115
20240604 050600,5297.75,5298,5297.5,5297.5,90
20240604 050700,5297.5,5297.75,5297.25,5297.75,112
20240604 050800,5297.5,5297.5,5297,5297.25,37
20240604 050900,5297.25,5297.75,5297.25,5297.75,70
20240604 051000,5297.5,5297.75,5297.5,5297.75,80
20240604 051100,5297.75,5298.25,5297.75,5298,29
20240604 051200,5298.25,5298.25,5297.75,5297.75,84
20240604 051300,5297.75,5298,5297.75,5297.75,49
20240604 051400,5298,5298.25,5298,5298.25,32
20240604 051500,5298.25,5298.25,5298,5298,26
20240604 051600,5298,5298.25,5297.75,5298,106
20240604 051700,5297.75,5298,5297.5,5297.5,46
20240604 051800,5297.5,5297.5,5297,5297.25,97
20240604 051900,5297.25,5297.75,5297.25,5297.5,52
20240604 052000,5297.75,5298.25,5297.75,5298.25,116
20240604 052100,5298.25,5298.5,5298.25,5298.5,98
20240604 052200,5298.25,5298.25,5297.75,5297.75,72
20240604 052300,5297.75,5297.75,5297.5,5297.75,29
